start,end,actor,recipient,bodypart_actor,bodypart_recipient,label,intensity_of_body_contact,valence_actor,valence_recipient,intention,audio_information
1311.00,1314.00,JENNY,MEN,,,CUDDLE,1,STRONG_POSITIVE,STRONG_POSITIVE,1,
1311.00,1314.00,MEN,JENNY,,,CUDDLE,1,STRONG_POSITIVE,STRONG_POSITIVE,1,
1314.00,1314.00,JENNY,MEN,FACE,FACE,,1,STRONG_POSITIVE,STRONG_POSITIVE,1,
1314.00,1314.00,MEN,JENNY,FACE,FACE,,1,STRONG_POSITIVE,STRONG_POSITIVE,1,
1339.00,1341.00,JENNY,FORREST,,,,1,STRONG_NEGATIVE,NEGATIVE,1,
1343.00,1344.00,JENNY,MEN,,,NUDGE,0,NEGATIVE,STRONG_NEGATIVE,1,AUDITORY
1345.00,1346.00,JENNY,FORREST,,,NUDGE,0,NEGATIVE,NEGATIVE,1,AUDITORY
1348.00,1348.00,JENNY,MEN,,CHEST,HOLD,0,POSITIVE,STRONG_NEGATIVE,1,
1348.00,1348.00,MEN,JENNY,,,PUSH_AWAY,1,STRONG_NEGATIVE,STRONG_NEGATIVE,1,AUDITORY
1350.00,1350.00,JENNY,MEN,,CHEST,HOLD,0,NEGATIVE,NEGATIVE,1,
1350.00,1350.00,MEN,JENNY,,BACK,PUSH_AWAY,1,NEGATIVE,STRONG_NEGATIVE,1,
1382.00,1383.00,JENNY,FORREST,,,HOLD_HANDS,1,POSITIVE,POSITIVE,1,
1386.00,1387.00,JENNY,FORREST,,,HOLD_HANDS,1,POSITIVE,POSITIVE,1,
1386.00,1387.00,FORREST,JENNY,,,HOLD_HANDS,1,POSITIVE,POSITIVE,1,
1467.00,1468.00,JENNY,FORREST,,,LEAD,0,POSITIVE,STRONG_POSITIVE,1,
1479.00,1479.00,JENNY,FORREST,,,HOLD_HANDS,0,POSITIVE,POSITIVE,1,
1479.00,1479.00,FORREST,JENNY,,,HOLD_HANDS,0,POSITIVE,POSITIVE,1,
1496.00,1522.00,JENNY,FORREST,,,NESTLE,0,STRONG_POSITIVE,STRONG_POSITIVE,1,
1515.00,1515.00,JENNY,FORREST,FACE,FACE,,0,STRONG_POSITIVE,STRONG_POSITIVE,1,
1537.00,1540.00,MEN,MEN,,,JOSTLE,0,NEGATIVE,NEGATIVE,0,
1580.00,1582.00,MEN,MEN,,,SHAKE_HANDS,1,POSITIVE,POSITIVE,1,
1584.00,1586.00,MEN,MEN,,,SHAKE_HANDS,1,POSITIVE,POSITIVE,1,
1592.00,1593.00,FORREST,MEN,,,SHAKE_HANDS,1,NEGATIVE,POSITIVE,1,
1640.00,1642.00,FORREST,MEN,,,SHAKE_HANDS,1,STRONG_POSITIVE,POSITIVE,1,
1640.00,1642.00,MEN,FORREST,,,SHAKE_HANDS,1,POSITIVE,STRONG_POSITIVE,1,
1643.00,1643.00,FORREST,MEN,,,SHAKE_HANDS,1,STRONG_POSITIVE,POSITIVE,1,
