start,end,actor,recipient,bodypart_actor,bodypart_recipient,label,intensity_of_body_contact,valence_actor,valence_recipient,intention,audio_information
6557.00,6560.00,DAN,WOMAN,,BACK,ARM_AROUND_SHOULDER,0,STRONG_POSITIVE,STRONG_POSITIVE,1,
6565.00,6567.00,DAN,WOMAN,,BACK,ARM_AROUND_SHOULDER,0,STRONG_POSITIVE,STRONG_POSITIVE,1,
6574.00,6575.00,JENNY,DAN,,HEAD,PAT,0,POSITIVE,POSITIVE,1,
6575.00,6575.00,JENNY,DAN,FACE,FACE,,0,POSITIVE,POSITIVE,1,
6586.00,6588.00,JENNY,BOY,,,,0,POSITIVE,POSITIVE,1,
6590.00,6599.00,JENNY,FORREST,,,HOLD_HANDS,0,STRONG_POSITIVE,STRONG_POSITIVE,1,
6590.00,6599.00,FORREST,JENNY,,,HOLD_HANDS,0,STRONG_POSITIVE,STRONG_POSITIVE,1,
6602.00,6607.00,JENNY,FORREST,,,HOLD_HANDS,0,STRONG_POSITIVE,STRONG_POSITIVE,1,
6602.00,6607.00,FORREST,JENNY,,,HOLD_HANDS,0,STRONG_POSITIVE,STRONG_POSITIVE,1,
6606.00,6613.00,FORREST,BOY,,,HOLD_HANDS,0,STRONG_POSITIVE,STRONG_POSITIVE,1,
6724.00,6727.00,JENNY,FORREST,,,HOLD_HANDS,0,POSITIVE,POSITIVE,1,
6782.00,6783.00,FORREST,BOY,FACE,HEAD,,0,STRONG_POSITIVE,STRONG_POSITIVE,1,AUDITORY
6954.00,6958.00,FORREST,BOY,,,NESTLE,0,POSITIVE,POSITIVE,0,
6959.00,6960.00,FORREST,BOY,,,NESTLE,0,POSITIVE,POSITIVE,0,
6968.00,6969.00,FORREST,BOY,,,BRUSH PAST,0,POSITIVE,POSITIVE,0,
6971.00,6971.00,FORREST,BOY,,,BRUSH PAST,0,POSITIVE,POSITIVE,0,
6973.00,6973.00,FORREST,BOY,,,FIX CLOTHING,0,POSITIVE,POSITIVE,1,
