start;end;actor;recp;bp_actor;bp_recp;label;int_bc;val_actor;val_recp;intention;audio_info
01:44:54:16;01:44:58:21;jc;boy;hand;brust;klop;wea;pos;pos;ja;
01:45:02:00;01:45:03:04;boy;jc;arm hand;nacken schulter;arm;wea;pos;pos;nein;
01:45:02:00;01:45:03:12;jc;boy;hand arm bauch brust;hand arm bauch brust huefte gesaess bein;tra;wea;pos;pos;ja;
01:45:04:17;01:45:04:19;jc;boy;hand;schulter;sb;wea;pos;pos;ja;
01:45:44:21;01:45:45:10;jc;fg;hand;brust;sb;wea;pos;neg;ja;
01:45:46:02;01:45:48:11;jc;fg;hand;hand;hah;str;pos;neg;ja;narr
01:47:59:16;01:48:00:14;woman;fg;hand;ruecken;klop;wea;pos;neg;ja;
01:48:22:20;01:48:30:14;jc;fg;hand;brust;klei;wea;pos;pos;ja;narr
01:48:37:23;01:48:38:05;jc;fg;hand;brust;sb;wea;pos;pos;ja;
01:49:35:00;01:49:35:10;jc;dt;gesicht;gesicht;kuss;wea;pos;pos;ja;aud narr
01:49:34:22;01:49:35:15;jc;dt;hand;kopf;sb;wea;pos;pos;ja;
01:49:46:14;01:49:48:09;jc;boy;hand;arm;zie;wea;pos;neg;ja;
01:49:50:01;01:49:59:07;fg;jc;hand ;hand;hah;wea;pos;pos;ja;
01:49:50:01;01:49:59:07;jc;fg;hand ;hand;hah;wea;pos;pos;ja;
01:50:02:04;01:50:07:12;fg;jc;hand;hand;hah;wea;pos;pos;ja;narr
01:50:02:04;01:50:07:12;jc;fg;hand;hand;hah;wea;pos;pos;ja;narr
01:50:06:15;01:50:13:13;fg;boy;hand;hand;hah;wea;pos;pos;ja;narr
01:50:10:22;01:50:12:14;fg;jc;hand;hand;sb;wea;pos;pos;ja;
01:52:04:15;01:52:07:06;jc;fg;hand;hand;hah;wea;pos;pos;ja;narr
01:53:03:00;01:53:03:14;fg;boy;gesicht;kopf;kuss;wea;pos;pos;ja;aud
01:55:54:12;01:56:05:14;fg;boy;arm schulter huefte bein;arm schulter kopf huefte bein;nah;wea;pos;pos;nein;
01:56:08:06;01:56:08:11;fg;boy;arm;schulter arm kopf;sb;wea;pos;pos;nein;
01:56:08:15;01:56:13:24;fg;boy;arm huefte bein;schulter arm huefte bein;sb;wea;pos;pos;nein;
01:56:14:15;01:56:14:18;fg;boy;hand;ruecken;sb;wea;pos;pos;ja;
