start;end;actor;recp;bp_actor;bp_recp;labels;int_bc;val_actor;val_recp;intention;audio_info
00:22:30;00:22:30;jc;man;hand;brust;sb;wea;neg;sneg;ja;
00:22:30;00:22:30;man;jc;arm hand;arm bauch ;weg;str;sneg;sneg;ja;
00:23:02;00:23:04;jc;fg;hand;hand;fueh;wea;neg;neg;ja;narr
00:24:27;00:24:29;jc;fg;hand;hand;lag;wea;pos;spos;ja;narr
00:24:38;00:24:39;fg;jc;hand;hand;zie;wea;neg;pos;ja;narr
00:24:56;00:25:05;jc;fg;arm brust gesicht hand;brust gesicht nacken schulter;nah;wea;spos;pos;ja;narr
00:25:02;00:25:02;jc;fg;hand;gesicht;sch;wea;spos;pos;ja;aud narr
00:25:15;00:25:16;jc;fg;gesicht;gesicht;kuss;wea;spos;spos;ja;
00:26:20;00:26:22;man;man;hand;hand;haes;wea;pos;spos;ja;
00:26:24;00:26:26;man;man;hand;hand;haes;wea;pos;spos;ja;
00:26;00:26;man;fg;hand;hand;haes;wea;pos;neg;ja;
00:27:20;00:27:23;man;fg;hand;hand;haes;wea;pos;pos;ja;
00:27:25;00:27:27;fg;mg;arm;arm hand schulter;nah;wea;pos;spos;ja;
00:27:25;00:27:27;mg;fg;arm hand schulter;arm;nah;wea;spos;pos;ja;
00:27:28;00:27:29;mg;fg;hand;kopf;klei;wea;pos;pos;ja;
00:27:30;00:27:32;man;fg;hand;schulter;klop;wea;pos;pos;ja;
00:28:14;00:28:14;fg;bb;schulter;schulter;sb;wea;pos;pos;nein;
00:28:39;00:28:43;bb;fg;hand;hand;haes;wea;pos;pos;ja;
00:32:16;00:32:16;man;woman;hand;gesaess;klop;wea;pos;pos;ja;
00:33:19;00:33:19;jc;man;fuss;hand;weg;str;neg;neg;ja;narr
00:33:33;00:33:34;fg;man;hand;nacken;weg;str;neg;sneg;ja;
00:33:35;00:33:35;man;fg;hand;schulter;fes;wea;neg;neg;ja;narr
00:33:36;00:33:37;fg;man;hand;brust;weg;str;neg;sneg;ja;narr
00:33:41;00:33:44;fg;jc;arm bauch hand;bein ruecken;tra;str;pos;neg;ja;narr
00:33;00:33;jc;fg;hand;brust;weg;str;neg;neg;ja;
00:36:54;00:36:55;bb;fg;schulter;schulter;sb;wea;pos;pos;nein;
00:36:54;00:36:55;fg;bb;schulter;schulter;sb;wea;pos;pos;nein;
00:40:06;00:40:07;dt;man;hand;schulter;ans;wea;neg;neg;ja;
00:41:39;00:41:45;bb;fg;arm;arm;nah;wea;neg;neg;nein;
00:41:39;00:41:45;fg;bb;arm;arm;nah;wea;neg;neg;nein;
00:41:59;00:42:00;bb;fg;hand;schulter;ans;wea;pos;neg;ja;
00:42:02;00:43:03;bb;fg;ruecken schulter;ruecken schulter;nah;wea;pos;pos;ja;
00:42:06;00:42:06;bb;fg;kopf;kopf;sb;wea;pos;pos;nein;
00:42:06;00:42:06;fg;bb;kopf;kopf;sb;wea;pos;pos;nein;
00:43:26;00:43:27;jc;man;arm bauch brust gesicht hand hals nacken schulter;arm bauch brust gesicht hand hals ruecken;hug;wea;pos;pos;ja;
00:44:43;00:44:43;man;man;hand;schulter;sb;wea;sneg;sneg;nein;
00:44:46;00:44:47;man;man;hand;arm;ans;wea;sneg;sneg;ja;
00:45:13;00:45:15;dt;fg;hand;schulter;lag;str;sneg;neg;ja;
