start,end,actor,recp,bp_actor,bp_recp,labels,int-bc,val_actor,val_recp,intention,audio_info
00:42:03:06,00:43:02:24,bb,fg,ruecken,ruecken,nah,wea,pos,pos,ja,
00:43:26:02,00:43:27:07,jc,woman,arme,arme,hug,wea,pos,pos,ja,
00:45:12:23,00:45:14:20,dt,fg,hand,schulter,zie,str,neg,neg,ja,
00:45:15:24,00:45:16:02,dt,fg,hand,schulter,zie,str,neg,neg,ja,
00:45:16:04,00:45:16:13,dt,fg,hand,schulter,weg,str,neg,neg,ja,
00:46:23:22,00:46:24:12,fg,man,hand,schulter,zie,str,neg,neg,ja,
00:46:25:08,00:46:31:01,fg,man,schulter,bauch,tra,str,neg,neg,ja,
00:46:31:03,00:46:43:07,fg,man,schulter,bauch,tra,str,neg,neg,ja,
00:46:43:07,00:46:44:03,fg,man,arm,schulter,lag,wea,pos,neg,ja,
00:46:44:06,00:46:44:17,fg,man,hand,bauch,abt,wea,neg,neg,ja,
00:46:49:13,00:46:52:18,fg,man,schulter,arm bein ruecken,tra,str,neg,neg,ja,
00:46:58:06,00:46:59:09,fg,man,hand,ruecken,lag,wea,neg,neg,ja,
00:47:00:09,00:47:00:18,fg,man,hand,brust,zie,str,pos,pos,ja,
00:47:01:21,00:47:02:16,fg,man,hand,bauch,abt,wea,pos,pos,ja,
00:47:18:22,00:47:20:23,fg,man,hand,ruecken,abt,wea,neg,neg,ja,
00:47:21:08,00:47:24:07,fg,dt,hand,brust,lag,wea,pos,neg,ja,
00:47:24:08,00:47:25:03,dt,fg,arm,brust,weg,str,neg,neg,ja,
00:47:25:19,00:47:26:04,fg,dt,hand,bauch,nah,wea,pos,neg,ja,
00:47:26:10,00:47:30:16,fg,dt,hand,bauch,klei,str,pos,neg,ja,
00:47:30:16,00:47:30:20,dt,fg,arm,brust,weg,str,neg,neg,ja,
00:47:31:14,00:47:32:09,fg,dt,hand,schulter,zie,str,neg,sneg,ja,
00:47:32:02,00:47:32:16,dt,fg,hand,brust,weg,str,sneg,neg,ja,
00:47:33:03,00:47:33:11,dt,fg,hand,brust,weg,str,sneg,neg,ja,
00:47:33:20,00:47:34:06,dt,fg,hand,brust,weg,str,sneg,neg,ja,
00:47:34:06,00:47:35:17,fg,dt,hand,hand,rin,str,sneg,sneg,ja,
00:47:34:06,00:47:35:17,dt,fg,hand,hand,rin,str,sneg,sneg,ja,
00:47:35:17,00:47:36:05,fg,dt,hand,brust,zie,str,neg,sneg,ja,
00:47:37:03,00:47:40:20,fg,dt,schulter,bauch,tra,str,neg,sneg,ja,
00:47:46:04,00:47:50:13,fg,dt,schulter,bauch,tra,str,neg,sneg,ja,
00:47:56:05,00:48:00:10,fg,dt,hand,arm,zie,str,neg,sneg,ja,narr
00:48:02:07,00:48:16:00,fg,dt,schulter,bauch,tra,str,neg,sneg,ja,
00:48:19:14,00:48:28:15,dt,fg,hand,arm,fes,str,sneg,neg,ja,
00:48:28:16,00:48:30:03,dt,fg,hand,schulter,rin,str,neg,neg,ja,
00:48:28:16,00:48:30:03,fg,dt,hand,schulter,rin,str,neg,neg,ja,
00:48:58:03,00:48:59:23,fg,bb,hand,brust,abt,wea,neg,neg,ja,
00:49:21:15,00:49:24:23,fg,bb,arm,ruecken bein,lag,wea,pos,neg,ja,
00:49:25:15,00:49:36:15,fg,bb,arm,ruecken bein,tra,str,neg,neg,ja,narr
00:49:30:14,00:49:36:15,bb,fg,arm,nacken,arm,str,neg,neg,ja,
00:49:38:12,00:49:56:01,fg,bb,arm,ruecken bein,tra,str,sneg,sneg,ja,narr
00:49:51:20,00:49:56:01,bb,fg,arm,nacken,arm,str,sneg,sneg,ja,
00:50:03:23,00:50:13:09,fg,bb,arm,ruecken beine,tra,str,neg,neg,ja,
00:50:03:23,00:50:59:17,bb,fg,arm,nacken,arm,wea,neg,neg,ja,
00:50:13:12,00:50:50:20,fg,bb,arm,ruecken bein,lag,wea,neg,neg,ja,
00:52:04:02,00:52:05:08,man,dt,hand,hand,hah,wea,pos,neg,ja,
00:52:05:16,00:52:05:20,man,dt,hand,arm,fes,wea,pos,neg,ja,
00:52:06:03,00:52:07:04,man,dt,hand,hand,zie,wea,pos,neg,ja,
00:52:07:14,00:52:12:13,man,dt,hand,ruecken,lag,wea,pos,neg,ja,
