start;end;actor;recp;bp_actor;bp_recp;label;int_bc;val_actor;val_recp;intention;audio_info
00:33:36:01;00:33:36:05;man;fg;hand;schulter;sb;wea;neg;neg;ja;
00:33:42:06;00:33:42:15;fg;jc;hand arm;ruecken bein;tra;str;pos;sneg;ja;narr
00:33:43:23;00:33:44:08;jc;fg;hand;brust;weg;str;sneg;neg;ja;
00:36:20:04;00:36:20:22;man;man;hand;ruecken;fueh;wea;pos;pos;ja;
00:40:06:05;00:40:06:15;dt;man;hand;schulter;klop;wea;pos;pos;ja;
00:41:12:09;00:41:12:14;dt;man;hand;schulter;klop;wea;pos;pos;ja;
00:41:39:03;00:41:45:01;bb;fg;bein huefte;arm hand;nah;wea;pos;pos;ja;
00:41:39:03;00:41:45:01;fg;bb;arm hand;bein huefte;nah;wea;pos ;pos;ja;
00:41:59:12;00:42:00:04;bb;fg;hand;schulter;ans;wea;pos;pos;ja;
00:42:02:13;00:43:02:22;bb;fg;ruecken;ruecken;nah;wea;pos;pos;ja;
00:43:26:05;00:43:27:05;jc;man;arm schulter nacken;ruecken arm;hug;wea;spos;spos;ja;
00:43:26:05;00:43:27:05;man;jc;ruecken arm;arm schulter nacken;hug;wea;spos;spos;ja;
00:45:12:24;00:45:14:22;dt;fg;hand;schulter;zie;str;sneg;neg;ja;narr
00:45:15:07;00:45:16:07;dt;fg;hand;schulter;zie;str;sneg;neg;ja;narr
00:46:23:15;00:46:24:12;fg;man;hand;schulter;lag;str;neg;neg;ja;
00:46:25:14;00:46:28:15;fg;man;hand schulter nacken;bein arm bauch;tra;str;sneg;sneg;ja;narr
00:46:31:03;00:46:37:13;fg;man;hand schulter arm;arm brust;tra;str;sneg;sneg;ja;narr
00:46:31:03;00:46:37:13;man;fg;arm brust;hand schulter arm;lie;wea;sneg;sneg;ja;narr
00:46:31:05;00:46:37:13;man;fg;hand;bauch;fes;str;sneg;sneg;ja;
00:46:37:14;00:46:41:04;fg;man;hand arm;bein;tra;str;sneg;sneg;ja;
00:46:37:14;00:46:41:04;man;fg;bein;hand arm;fes;wea;sneg;sneg;ja;
00:46:37:14;00:46:38:20;man;fg;hand;bauch;sb;wea;neg;neg;nein;
00:46:37:14;00:46:38:20;fg;man;bauch;hand;sb;wea;sneg;sneg;nein;
00:46:43:00;00:46:43:18;man;fg;hand;ruecken;sb;wea;sneg;neg;nein;
00:46:44:05;00:46:44:17;fg;man;hand;bauch;klop;wea;neg;neg;ja;
00:46:53:13;00:46:54:12;fg;man;hand;bein;abt;wea;neg;neg;ja;
00:46:58:04;00:46:59:05;fg;man;hand;schulter;lag;str;pos;neg;ja;
00:47:00:05;00:47:00:15;fg;man;hand;schulter;lag;str;neg;neg;ja;
00:47:01:20;00:47:02:11;fg;man;hand;bauch;abt;wea;neg;neg;ja;
00:47:18:15;00:47:20:23;fg;man;hand;schulter;abt;wea;neg;neg;ja;
00:47:21:07;00:47:22:13;fg;dt;hand;bauch;fes;wea;pos;neg;ja;
00:47:22:04;00:47:24:19;fg;dt;hand arm brust;bauch bein;lie;wea;pos;neg;ja;
00:47:24:10;00:47:24:21;dt;fg;hand arm;schulter hals;weg;str;sneg;sneg;ja;
00:47:24:13;00:47:25:16;fg;dt;hand;bauch;fes;str;neg;sneg;ja;
00:47:25:20;00:47:26:03;fg;dt;hand arm;bauch;sb;wea;neg;sneg;ja;
00:47:26:06;00:47:30:16;fg;dt;hand;bauch;rin;str;neg;sneg;ja;
00:47:31:02;00:47:32:13;dt;fg;hand arm;schulter brust;weg;str;sneg;neg;ja;
00:47:33:05;00:47:35:19;dt;fg;hand arm;schulter brust;weg;str;sneg;neg;ja;
00:47:31:06;00:47:32:07;fg;dt;hand arm;brust;lie;str;neg;neg;ja;
00:47:33:03;00:47:33:19;fg;dt;hand ;bauch ;fes;str;neg;sneg;ja;
00:47:34:01;00:47:36:05;fg;dt;hand arm;schulter brust;lag;str;neg;sneg;ja;narr
00:47:36:22;00:47:40:14;fg;dt;ruecken nacken;bauch;tra;str;neg;sneg;ja;narr
00:47:39:15;00:47:40:19;dt;fg;hand;gesaess;klop;wea;sneg;neg;ja;
00:47:47:00;00:47:50:18;fg;dt;hand schulter nacken;bein arm bauch;tra;str;neg;sneg;ja;
00:47:47:00;00:47:50:18;dt;fg;bein arm bauch;hand schulter nacken;lie;wea;sneg;neg;ja;
00:47:58:10;00:48:00:07;fg;dt;hand;hand;zieh;str;neg;neg;ja;narr
00:48:01:17;00:48:03:22;fg;dt;nacken;bauch;tra;str;neg;sneg;ja;narr
00:48:01:17;00:48:03:22;dt;fg;bauch;nacken;lie;wea;sneg;neg;ja;narr
00:48:06:14;00:48:08:13;fg;dt;nacken schulter;bauch arm;tra;str;neg;sneg;ja;narr
00:48:06:14;00:48:08:13;dt;fg;bauch arm;nacken schulter;lie;wea;sneg;neg;ja;narr
00:48:09:00;00:48:14:04;fg;dt;hand nacken schulter;bein bauch arm;tra;str;neg;sneg;ja;
00:48:09:00;00:48:14:04;dt;fg;bein bauch arm;hand nacken schulter;lie;wea;sneg;neg;ja;
00:48:17:13;00:48:17:22;fg;dt;hand;bauch;fes;wea;neg;sneg;ja;
00:48:19:13;00:48:20:24;dt;fg;hand;schulter;fes;str;sneg;neg;ja;narr
00:48:21:00;00:48:28:02;dt;fg;hand;schulter;fes;str;sneg;neg;ja;narr
00:48:58:01;00:48:59:23;fg;bb;hand;schulter;klop;wea;sneg;neg;ja;
00:49:22:18;00:49:24:18;bb;fg;hand;schulter;fes;wea;neg;neg;ja;
00:49:24:20;00:49:24:23;fg;bb;hand ;ruecken;lag;str;neg;neg;ja;
00:49:25:24;00:49:30:11;fg;bb;nacken schulter arm;arm hand bein;tra;str;neg;neg;ja;narr
00:49:25:24;00:49:30:11;bb;fg;arm hand bein;nacken schulter arm;lie;wea;neg;neg;ja;narr
