start;end;actor;recp;bp_actor;bp_recp;label;int_bc;val_actor;val_recp;intention;audio_info
01:31:28;01:31:34;jc;fg;hand ruecken huefte  arm;hand ruecken huefte arm;tae;wea;pos;pos;ja;
01:31:28;01:31:34;fg;jc;hand ruecken huefte  arm;hand ruecken huefte arm;tae;wea;pos;pos;ja;
01:31:36;01:31:40;jc;fg;hand ruecken huefte  arm;hand ruecken huefte arm;tae;wea;pos;pos;ja;narr
01:31:36;01:31:40;fg;jc;hand ruecken huefte  arm;hand ruecken huefte arm;tae;wea;pos;pos;ja;narr
01:31:46;01:31:47;jc;fg;hand ruecken huefte  arm;hand ruecken huefte arm;tae;wea;pos;pos;ja;
01:31:46;01:31:47;fg;jc;hand ruecken huefte  arm;hand ruecken huefte arm;tae;wea;pos;pos;ja;
01:31:47;01:31:49;jc;fg;gesaess arm schulter;gesaess arm schulter;nah;wea;pos;pos;ja;
01:31:47;01:31:49;fg;jc;gesaess arm schulter;gesaess arm schulter;nah;wea;pos;pos;ja;
01:31:47;01:31:55;jc;fg;arm schulter hand brust kopf;arm schulter ruecken;sch;wea;pos;pos;ja;narr
01:31:20;01:31:22;jc;fg;hand;schulter arm;sb;wea;pos;pos;ja;
01:33:48;01:33:49;jc;fg;arme brust bauch h’te beine ;arm brust bauch hue’te bein;lie;wea;pos;pos;ja;narr
01:33:49;01:34:09;jc;fg;arm brust bauch;arm brust bauch nacken;lie;wea;pos;pos;ja;
01:33:52;01:33:53;jc;fg;kopf;kopf;kuss;str;spos;spos;ja;narr aud
01:33:57;01:34:09;jc;fg;kopf;kopf;kuss;str;spos;spos;ja;aud
01:33:57;01:34:09;fg;jc;kopf;kopf;kuss;str;spos;spos;ja;narr aud
01:34:00;01:34:04;fg;jc;hand arm brust;arm rueckne nacken;hug;str;spos;spos;ja;narr
01:34:09;01:34:22;jc;fg;arm brust bauch huefte;arm brust bauch huefte;lie;wea;spos;spos;ja;
01:34:15;01:34:22;fg;jc;hand arm brust;arm ruecken nacken;hug;str;spos;spos;ja;narr
01:38:42;01:38:58;men;jc;arm;hand arm;sb;wea;pos;neg;nein;
01:43:09;01:43:09;fg;wold woman;hand;hand;sb;wea;pos;pos;nein;
01:43:24;01:43:25;jc;fg;hand arm brust schulter kopf;brust kopf nacken ruecken;hug;wea;pos;pos;ja;
01:43:25;01:43:26;jc;fg;hand arm brust schulter kopf;brust kopf nacken ruecken;hug;wea;pos;pos;ja;
01:43:25;01:43:26;fg;jc;hand arm brust schulter kopf;brust kopf nacken ruecken;hug;wea;pos;pos;ja;
01:44:39;01:44:40;woman;boy;hand;hand arm;zie;wea;pos;pos;ja;
01:44:41;01:44:43;jc;boy;hand arm brust schulter ruecken bauch huefte;brust arm schulter ruecken bauch huefte;lag;wea;pos;pos;ja;narr
01:44:42;01:44:44;jc;boy;hand arm brust schulter ruecken bauch huefte;brust arm schulter ruecken bauch huefte gesaess;tra;wea;pos;pos;ja;
01:44:42;01:44:44;boy;jc;arm hand;nacken schulter;arm;wea;pos;pos;ja;
01:44:44;01:44:48;jc;boy;hand arm brust schulter ruecken bauch huefte;brust arm schulter ruecken bauch huefte gesaess;tra;wea;pos;pos;ja;
01:44:48;01:44:58;boy;jc;arm hand;nacken schulter;arm;wea;pos;pos;ja;
