start;end;actor;recp;bp_actor;bp_recp;label;int_bc;val_actor;val_recp;intention;audio_info
00:22:19;00:22:21;jc;fg;haende;"ruecken;schultern";zieh;str;sneg;neg;ja;nar,aud
00:22:23;00:22:24;jc;man;haende;"arme;bauch";ans;wea;neg;sneg;ja;aud
00:22:25;00:22:26;jc;fg;haende;schultern;ans;wea;neg;neg;ja;aud
00:22:28;00:22:28;jc;man;haende;brust;fes;wea;pos;sneg;ja;
00:22:28;00:22:28;man;jc;haende;"haende;arme";weg;str;sneg;sneg;ja;aud
00:22:30;00:22:30;jc;man;haende;brust;fes;wea;neg;neg;ja;
00:22:30;00:22:30;man;jc;haende;ruecken;weg;str;neg;sneg;ja;
00:23:02;00:23:03;jc;fg;haende;haende;hah;str;pos;pos;ja;"aud;nar"
00:23:06;00:23:07;jc;fg;haende;haende;hah;str;pos;pos;ja;
00:23:06;00:23:07;fg;jc;haende;haende;hah;str;pos;pos;ja;
00:24:27;00:24:28;jc;fg;haende;haende;fueh;wea;pos;spos;ja;nar
00:24:39;00:24:39;jc;fg;haende;haende;hah;wea;pos;pos;ja;
00:24:39;00:24:39;fg;jc;haende;haende;hah;wea;pos;pos;ja;
00:24:56;00:25:22;jc;fg;"haende;kopf;hals;gesicht";"kopf;hals;schultern;brust;gesicht";nah;wea;spos;spos;ja;nar
00:25:15;00:25:15;jc;fg;gesicht;gesicht;kuss;wea;spos;spos;ja;"nar;aud"
00:25:37;00:25:40;men;men;"kopf;arme;brust;ruecken;beine;huefte;schultern";"kopf;arme;brust;ruecken;beine;huefte;schultern";remp;wea;neg;neg;nein;
00:26:20;00:26:22;man;man;haende;haende;haes;str;pos;pos;ja;
00:26:24;00:26:26;man;man;haende;haende;haes;str;pos;pos;ja;
00:26:32;00:26:33;fg;man;haende;haende;haes;str;neg;pos;ja;
00:27:20;00:27:22;fg;man;haende;haende;haes;str;spos;pos;ja;
00:27:20;00:27:22;man;fg;haende;haende;haes;str;pos;spos;ja;
00:27:23;00:27:23;fg;man;haende;haende;haes;str;spos;pos;ja;
00:27:23;00:27:23;man;fg;haende;haende;haes;str;pos;spos;ja;
00:27:25;00:27:26;mg;fg;haende;arme;arm;wea;spos;spos;ja;
00:27:30;00:27:30;man;fg;haende;schultern;klop;wea;pos;pos;ja;
00:28:39;00:28:39;bb;fg;haende;haende;haes;wea;pos;pos;ja;
00:28:39;00:28:40;bb;fg;haende;haende;haes;wea;pos;pos;ja;
00:28:40;00:28:42;bb;fg;haende;haende;haes;wea;pos;pos;ja;
00:33:19;00:33:19;jc;man;fue·e;haende;hit;wea;sneg;sneg;ja;nar
00:33:33;00:33:34;fg;man;haende;"ruecken;schultern";weg;str;sneg;sneg;ja;"nar,;aud"
00:33:34;00:33:35;man;fg;haende;schultern;fes;wea;neg;neg;ja;
00:33:35;00:33:36;man;fg;haende;schultern;fes;wea;neg;neg;ja;
00:33:35;00:33:36;fg;man;haende;brust;weg;str;sneg;sneg;ja;nar
