start,end,actor,recp,bp_actor,bp_recp,labels,int_bc,val_actor,val_recp,intention,audio_info
00:52:12:17,00:52:21:03,man,dt,arm,ruecken gesaess,tra,str,pos,neg,ja,narr
00:55:09:23,00:55:14:22,man,fg,hand,hand,haes,wea,pos,pos,ja,
00:55:53:24,00:55:54:09,woman,fg,hand,arm,sb,wea,pos,pos,ja,
00:55:54:13,00:55:56:07,woman,fg,hand,ruecken,fueh,wea,pos,pos,ja,
00:55:56:18,00:55:56:22,woman,man,hand,ruecken,sb,wea,pos,pos,ja,
00:55:57:03,00:55:57:19,woman,fg,hand,arm,sb,wea,pos,pos,ja,
00:56:00:22,00:56:05:08,man,fg,hand,ruecken huefte,fueh,wea,pos,pos,ja,narr
00:56:11:03,00:56:11:09,woman,man,hand,arm,fueh,wea,pos,pos,ja,narr
00:56:12:02,00:56:12:09,woman,man,hand,arm,fueh,wea,pos,pos,ja,narr
00:56:12:07,00:56:13:21,man,fg,hand,ruecken,fueh,wea,pos,pos,ja,
00:56:13:08,00:56:14:03,woman,man,hand,ruecken,fueh,wea,pos,pos,ja,narr
00:56:17:15,00:56:18:20,woman,fg,hand,arm ruecken,fueh,wea,pos,pos,ja,
00:56:18:21,00:56:19:19,woman,fg,hand,arm,zie,wea,pos,pos,ja,
00:56:21:18,00:56:22:18,man,fg,hand,arm,sb,wea,pos,pos,ja,
00:56:57:19,00:56:59:08,woman,fg,hand,arm,fueh,wea,pos,pos,ja,
00:57:03:05,00:57:04:02,man,fg,hand,ruecken,fueh,wea,pos,pos,ja,
00:57:04:22,00:57:39:17,crowd,crowd,arm,arm,sb,wea,pos,pos,nein,narr
00:58:08:14,00:58:10:08,woman,men,arm,arm,weg,wea,neg,neg,ja,
00:58:13:12,00:58:13:19,woman,man,hand,ruecken,ans,wea,neg,neg,ja,
00:58:14:23,00:58:15:16,man,man,hand,arm,weg,str,neg,neg,ja,narr
00:58:14:09,00:58:46:13,crowd,crowd,arm,arm,sb,wea,pos,pos,nein,
